type, event, jet, pt, mass, eta, phi, charge
2,4,1,3.75283,1.19209e-07,0.61923,2.79953,0
1,4,1,212.215,9.21323,0.622864,2.7934,0.402318
2,4,2,1.29971,-5.16191e-08,-0.452834,5.89473,0
2,4,2,66.4545,1.65181e-06,-0.128574,6.05834,0
2,4,2,129.394,2.6974e-06,-0.128253,6.05692,0
1,4,2,197.131,5.81156,-0.130595,6.05633,0
2,4,3,2.25437,0.93957,0.853012,3.41524,0
2,4,3,1.80838,-4.21468e-08,0.726243,3.51122,0
2,4,3,6.25037,0.13957,0.844655,3.51035,-1
2,4,3,2.44996,0.13957,0.831573,3.68382,-1
2,4,3,4.4708,0.49368,0.898162,3.61417,1
2,4,3,6.89889,0.93827,0.835995,3.61713,-1
2,4,3,2.36596,0.13957,0.815029,3.60645,1
1,4,3,26.4282,4.49666,0.842551,3.57229,-0.330675
#
0,5,5
2,5,1,13.3352,0.13957,-0.0184836,1.86649,1
2,5,1,18.2845,0.13957,-0.027671,1.80574,-1
2,5,1,48.2611,-1.78416e-06,-0.0166401,1.83415,0
2,5,1,36.4855,0.13957,-0.0125407,1.83192,1
2,5,1,26.2839,-3.37175e-07,-0.00916739,1.82926,0
2,5,1,4.17812,-1.19209e-07,-0.0128064,1.82545,0
2,5,1,81.286,0.13957,-0.0093271,1.82573,-1
1,5,1,228.099,3.04927,-0.0134404,1.82968,-0.218092
2,5,2,3.72014,0.13957,1.21183,4.24935,1
2,5,2,2.0917,0.49368,1.82815,4.78147,1
2,5,2,10.3917,0.13957,1.28884,4.3808,-1
2,5,2,3.70492,2.59811e-07,1.69626,4.54123,0
2,5,2,3.05209,0.13957,1.61648,4.50854,-1
2,5,2,1.02223,6.14391e-08,1.65917,4.48261,0
2,5,2,8.28995,0.13957,1.58374,4.45791,1
2,5,2,9.70177,0.13957,1.59706,4.39369,-1
2,5,2,23.9186,0.13957,1.62451,4.44975,1
2,5,2,19.0538,0.13957,1.60972,4.42988,-1
2,5,2,1.07579,4.94216e-08,1.64643,4.44309,0
2,5,2,23.9057,0.13957,1.64131,4.42371,1
2,5,2,29.8215,-6.7435e-07,1.62918,4.42664,0
1,5,2,139.501,18.4118,1.59832,4.43257,0.141157
2,5,3,1.07195,0.13957,-1.40212,0.00895967,-1
2,5,3,1.16684,0.13957,-1.30809,0.409393,1
2,5,3,3.96903,0.13957,-1.5901,0.17846,1
2,5,3,3.46228,-2.6656e-07,-1.66293,0.242866,0
2,5,3,8.91038,0.93827,-1.54143,0.203821,1
2,5,3,1.26452,0.13957,-1.54323,0.640519,1
2,5,3,6.04395,0.13957,-1.45533,0.346558,-1
2,5,3,3.07362,0.13957,-1.56876,0.37334,-1
2,5,3,4.02731,0.93957,-1.54569,0.383766,0
2,5,3,5.05839,0.49368,-1.51834,0.387729,-1
2,5,3,2.19424,-1.46001e-07,-1.48831,0.432695,0
2,5,3,2.34244,-1.07454e-07,-1.49253,0.432068,0
2,5,3,8.58827,0.93957,-1.56364,0.484232,0
2,5,3,1.9023,-1.21058e-07,-1.549,0.402089,0
2,5,3,9.30102,0.13957,-1.54249,0.430064,-1
2,5,3,3.43338,-2.19001e-07,-1.55597,0.43759,0
2,5,3,6.60967,-1.19209e-07,-1.5445,0.44854,0
2,5,3,11.3274,0.93957,-1.54954,0.449993,0
1,5,3,83.2626,12.2602,-1.54552,0.380655,-0.11031
2,5,4,4.1686,0.13957,0.601453,4.76201,1
2,5,4,1.83158,0.13957,0.575999,4.90975,1
2,5,4,3.94877,0.93957,0.151139,5.03901,0
2,5,4,1.26205,0.13957,0.218306,5.05695,1
2,5,4,1.16556,-1.49012e-08,0.12987,4.96454,0
2,5,4,9.43906,0.49368,0.311532,4.9409,-1
2,5,4,2.97453,0.93957,0.390848,4.93247,0
2,5,4,9.13265,0.13957,0.3728,4.9307,-1
2,5,4,1.33893,0.93957,0.0426271,4.88635,0
2,5,4,4.28635,0.13957,0.358704,4.74318,-1
2,5,4,3.30267,-5.96046e-08,0.165865,4.6809,0
2,5,4,2.48079,0,0.201995,4.64433,0
2,5,4,15.2653,0.49761,0.199453,4.66173,0
2,5,4,9.20856,1.19209e-07,0.21349,4.67012,0
1,5,4,69.1361,16.007,0.288135,4.80283,-0.223419
2,5,5,1.52406,0.13957,-0.0471716,4.6074,-1
2,5,5,2.10773,0.13957,0.160047,4.45589,-1
2,5,5,1.5901,-2.10734e-08,0.0932049,4.39094,0
2,5,5,3.91154,-1.46001e-07,-0.0330525,4.30363,0
2,5,5,2.6046,0.13957,0.0399915,4.32626,1
2,5,5,12.7489,0.13957,0.0141453,4.35616,-1
2,5,5,1.7423,6.664e-08,0.00415366,4.36013,0
2,5,5,8.30628,3.76973e-07,-0.00949297,4.32737,0
2,5,5,2.29888,-8.42937e-08,-0.00516608,4.33897,0
1,5,5,36.7649,3.01373,0.0132462,4.35858,-0.374001
#
0,6,4
2,6,1,2.15018,0.13957,-0.158738,0.276851,-1
2,6,1,1.134,0.13957,-0.217946,0.173414,1
2,6,1,2.2689,5.96046e-08,-0.100677,0.0572595,0
2,6,1,3.6503,8.42937e-08,-0.0822668,0.100401,0
2,6,1,160.858,0.49368,-0.122847,0.143069,-1
2,6,1,130.921,0.49368,-0.12358,0.143473,1
1,6,1,300.951,5.81287,-0.123138,0.143149,-0.102841
2,6,2,277.832,0.13957,-0.65867,2.8193,1
2,6,2,17.3953,0.13957,-0.650775,2.82776,-1
1,6,2,295.226,1,-0.658207,2.8198,0.882156
2,6,3,1.63418,0.13957,2.31327,4.33595,-1
2,6,3,1.01192,-5.5755e-08,1.84936,4.24149,0
2,6,3,1.92011,0.49368,2.01625,4.65641,1
2,6,3,5.77385,0.13957,2.07852,4.50182,-1
2,6,3,2.09944,1.65932e-07,2.05213,4.61769,0
2,6,3,2.78265,0.13957,1.92717,4.57698,1
2,6,3,11.8341,0.13957,2.00706,4.56025,-1
2,6,3,7.79787,0.13957,1.9986,4.53323,1
2,6,3,14.1614,0.49368,1.96187,4.52305,-1
2,6,3,5.89675,0.13957,1.96045,4.51533,-1
2,6,3,7.60624,0.13957,1.99174,4.54629,-1
2,6,3,2.69518,2.79571e-07,1.96442,4.57371,0
2,6,3,4.14916,0.13957,1.97249,4.5507,1
2,6,3,13.7296,5.3312e-07,1.95974,4.55202,0
1,6,3,82.9793,7.60592,1.99379,4.53746,-0.364133
2,6,4,3.73564,0.13957,-0.0011486,5.0138,1
2,6,4,3.3288,-4.21468e-08,-0.103106,4.8624,0
2,6,4,8.3894,0.13957,-0.125406,4.89744,-1
2,6,4,2.44295,6.664e-08,-0.0875061,4.97787,0
2,6,4,5.4001,0.13957,-0.063155,4.93028,-1
2,6,4,1.29565,0.000511,-0.0896713,4.91219,1
2,6,4,7.99262,0.49368,-0.0882267,4.91844,-1
2,6,4,10.1085,0.49368,-0.0856627,4.93019,1
2,6,4,3.97955,9.42432e-08,-0.0959879,4.93541,0
2,6,4,14.4541,0.13957,-0.0918413,4.93481,1
1,6,4,61.0984,3.21754,-0.0876086,4.92854,0.127795
#
0,7,2
2,7,1,1.3393,-2.98023e-08,0.350254,3.86613,0
2,7,1,9.54772,0.13957,0.313376,3.95382,1
2,7,1,4.68191,0.13957,0.355324,3.93363,1
2,7,1,9.15671,0.13957,0.306899,3.92767,-1
2,7,1,4.02377,0,0.352015,3.91451,0
2,7,1,5.52292,0.49368,0.324027,3.89533,-1
2,7,1,9.2348,1.19209e-07,0.323442,3.8936,0
2,7,1,7.51287,1.46001e-07,0.328423,3.9213,0
2,7,1,38.9698,0.13957,0.329611,3.90808,-1
2,7,1,7.34117,0.49368,0.323699,3.90684,1
2,7,1,4.53085,0.13957,0.214721,3.63985,1
2,7,1,1.19571,0,0.0264778,4.03388,0
2,7,1,10.9547,0.13957,0.0921856,3.58299,-1
2,7,1,5.14094,0.13957,-0.178875,4.00174,1
2,7,1,1.06818,0.13957,0.00871639,3.65641,-1
2,7,1,1.75503,0.13957,-0.119832,3.8174,1
2,7,1,3.52034,0.13957,-0.136172,3.78061,-1
2,7,1,86.7222,0.13957,-0.0984494,3.76805,1
